,id,folder_id,folder_id_date,display_name,filename,content-type,url,hidden,thumbnail_url,mime_class,Id,Mime type,Score,Library reference,Checked on,AlternativeText:2,Contrast:2,HeadingsHigherLevel:3,HeadingsPresence:2,HeadingsSequential:3,HeadingsStartAtOne:3,HtmlBrokenLink:2,HtmlCaption:2,HtmlColorContrast:2,HtmlDefinitionList:3,HtmlEmptyHeading:2,HtmlEmptyTableHeader:2,HtmlHasLang:3,HtmlHeadingOrder:3,HtmlHeadingsPresence:2,HtmlHeadingsStart:2,HtmlImageAlt:2,HtmlImageRedundantAlt:3,HtmlLabel:2,HtmlLinkName:3,HtmlList:3,HtmlObjectAlt:2,HtmlTdHasHeader:2,HtmlTitle:3,ImageContrast:2,ImageDecorative:2,ImageDescription:2,ImageOcr:3,ImageSeizure:1,LanguageCorrect:3,LanguagePresence:3,Ocred:2,Parsable:1,Scanned:1,Security:1,TableHeaders:2,Tagged:2,Title:3
123,15256109,1265694,,discussion.svg,interactions-collaborations.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256109/download?download_frd=1&verifier=7inTGV1qmxrsA4VgTlIrYKjof1pLhGxvKDP5EnE4,False,https://boisestatecanvas.instructure.com/files/15256109/download?download_frd=1&verifier=7inTGV1qmxrsA4VgTlIrYKjof1pLhGxvKDP5EnE4,image,15256109,image/svg+xml,100.00,,2022-02-14 21:26:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,15256108,1265693,,document.svg,document.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256108/download?download_frd=1&verifier=JA2xGGyKOUTRpjptUwpvO7tph5EXsKXNwN5PtgWR,False,https://boisestatecanvas.instructure.com/files/15256108/download?download_frd=1&verifier=JA2xGGyKOUTRpjptUwpvO7tph5EXsKXNwN5PtgWR,image,15256108,image/svg+xml,100.00,,2022-02-14 21:37:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,15256098,1265693,,documents.svg,multiple-documents.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256098/download?download_frd=1&verifier=5l9l1VKVKkt4pAKqywYtj4V8JMfEOLEa4PHKFtJ3,False,https://boisestatecanvas.instructure.com/files/15256098/download?download_frd=1&verifier=5l9l1VKVKkt4pAKqywYtj4V8JMfEOLEa4PHKFtJ3,image,15256098,image/svg+xml,100.00,,2022-02-14 21:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,15256083,1265693,,download-from-cloud.svg,download-from-cloud.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256083/download?download_frd=1&verifier=coFVA4oxHQGFMnRP0KnCko2doDB9GtxBuS2YAtJj,False,https://boisestatecanvas.instructure.com/files/15256083/download?download_frd=1&verifier=coFVA4oxHQGFMnRP0KnCko2doDB9GtxBuS2YAtJj,image,15256083,image/svg+xml,100.00,,2022-02-14 21:37:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,15256081,1265693,,email.svg,email.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256081/download?download_frd=1&verifier=WelFDxh0o2cTZoUJK6Mzs5qIono02tVcSEQznbPu,False,https://boisestatecanvas.instructure.com/files/15256081/download?download_frd=1&verifier=WelFDxh0o2cTZoUJK6Mzs5qIono02tVcSEQznbPu,image,15256081,image/svg+xml,100.00,,2022-02-14 21:37:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,15256104,1265693,,export.svg,export.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256104/download?download_frd=1&verifier=gaEtFQF5Si96PzQRdv0FTFlC7hPkjoGC2ELghkmR,False,https://boisestatecanvas.instructure.com/files/15256104/download?download_frd=1&verifier=gaEtFQF5Si96PzQRdv0FTFlC7hPkjoGC2ELghkmR,image,15256104,image/svg+xml,100.00,,2022-02-14 21:37:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,15256082,1265693,,file-sharing.svg,file-sharing.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256082/download?download_frd=1&verifier=AbcCwrzXmVus9DtofgIZn52cwTDFUZxPwe4bITK6,False,https://boisestatecanvas.instructure.com/files/15256082/download?download_frd=1&verifier=AbcCwrzXmVus9DtofgIZn52cwTDFUZxPwe4bITK6,image,15256082,image/svg+xml,100.00,,2022-02-14 21:37:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,15256096,1265693,,file.svg,file.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256096/download?download_frd=1&verifier=YkbjZAFmOaygeGbUBgsVgQ0B9C7rzGZOTw0OzlXg,False,https://boisestatecanvas.instructure.com/files/15256096/download?download_frd=1&verifier=YkbjZAFmOaygeGbUBgsVgQ0B9C7rzGZOTw0OzlXg,image,15256096,image/svg+xml,100.00,,2022-02-14 21:37:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,15256115,1265694,,finish-line.svg,finish-line.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256115/download?download_frd=1&verifier=xXiEZ5gfHMblr6DexXnrVcBbf7LOxHj7SCSHaWq5,False,https://boisestatecanvas.instructure.com/files/15256115/download?download_frd=1&verifier=xXiEZ5gfHMblr6DexXnrVcBbf7LOxHj7SCSHaWq5,image,15256115,image/svg+xml,100.00,,2022-02-14 21:26:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,15256097,1265693,,framing.svg,framing.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256097/download?download_frd=1&verifier=EnxFtMRwNSqAsY8995NfUS1emlV9D6Z9OZnZAK2f,False,https://boisestatecanvas.instructure.com/files/15256097/download?download_frd=1&verifier=EnxFtMRwNSqAsY8995NfUS1emlV9D6Z9OZnZAK2f,image,15256097,image/svg+xml,100.00,,2022-02-14 21:37:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,15256093,1265693,,image.svg,image.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256093/download?download_frd=1&verifier=zeHPNCD69nIQeMJzv1kpCXChGYGb1ckFvx7MuWeF,False,https://boisestatecanvas.instructure.com/files/15256093/download?download_frd=1&verifier=zeHPNCD69nIQeMJzv1kpCXChGYGb1ckFvx7MuWeF,image,15256093,image/svg+xml,100.00,,2022-02-14 23:22:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,15256073,1265693,,images.svg,images.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256073/download?download_frd=1&verifier=jGpaDuoT4hFeSjyd7tZ1incwj1mhoDXXgBB1r1zA,False,https://boisestatecanvas.instructure.com/files/15256073/download?download_frd=1&verifier=jGpaDuoT4hFeSjyd7tZ1incwj1mhoDXXgBB1r1zA,image,15256073,image/svg+xml,100.00,,2022-02-14 21:37:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,15256106,1265693,,library.svg,library.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256106/download?download_frd=1&verifier=GLgOpBcz5LYFZPS0q42ebHFVt1sQLreAVwiRmU4k,False,https://boisestatecanvas.instructure.com/files/15256106/download?download_frd=1&verifier=GLgOpBcz5LYFZPS0q42ebHFVt1sQLreAVwiRmU4k,image,15256106,image/svg+xml,100.00,,2022-02-14 21:37:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,15256086,1265693,,link.svg,link.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256086/download?download_frd=1&verifier=9UMaJeMihfPxXZpGioDALZoRlBoubOg5SEYXmCj0,False,https://boisestatecanvas.instructure.com/files/15256086/download?download_frd=1&verifier=9UMaJeMihfPxXZpGioDALZoRlBoubOg5SEYXmCj0,image,15256086,image/svg+xml,100.00,,2022-02-14 21:37:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,15256114,1265694,,list.svg,list.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256114/download?download_frd=1&verifier=NzcZoyJsPKHQwSosrNffYqQ0dxj6cqpr0OkQojN0,False,https://boisestatecanvas.instructure.com/files/15256114/download?download_frd=1&verifier=NzcZoyJsPKHQwSosrNffYqQ0dxj6cqpr0OkQojN0,image,15256114,image/svg+xml,100.00,,2022-02-14 21:26:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,15256084,1265693,,location.svg,location.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256084/download?download_frd=1&verifier=CC375ylQ2Xr1Y9KxEfTUJWRsGPFQQkizbc6X0I2x,False,https://boisestatecanvas.instructure.com/files/15256084/download?download_frd=1&verifier=CC375ylQ2Xr1Y9KxEfTUJWRsGPFQQkizbc6X0I2x,image,15256084,image/svg+xml,100.00,,2022-02-14 21:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,15256111,1265694,,looking-ahead.svg,looking-ahead.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256111/download?download_frd=1&verifier=zIxTin2xjFXNXEuzPg7gaCntVW8yZNoZt5tw9Pfi,False,https://boisestatecanvas.instructure.com/files/15256111/download?download_frd=1&verifier=zIxTin2xjFXNXEuzPg7gaCntVW8yZNoZt5tw9Pfi,image,15256111,image/svg+xml,100.00,,2022-02-14 21:26:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,15256100,1265693,,module-intro.svg,extra-credit.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256100/download?download_frd=1&verifier=uqRWrV6syOHNl6h2sHNfMrdbds6rqwy7grJH4IAo,False,https://boisestatecanvas.instructure.com/files/15256100/download?download_frd=1&verifier=uqRWrV6syOHNl6h2sHNfMrdbds6rqwy7grJH4IAo,image,15256100,image/svg+xml,100.00,,2022-04-04 21:01:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,15256095,1265693,,music.svg,music.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256095/download?download_frd=1&verifier=4EgIWSzNr8UQYlrL3zEuUlhj0HlDfDZI9dToLOLq,False,https://boisestatecanvas.instructure.com/files/15256095/download?download_frd=1&verifier=4EgIWSzNr8UQYlrL3zEuUlhj0HlDfDZI9dToLOLq,image,15256095,image/svg+xml,100.00,,2022-02-14 21:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,15256121,1265694,,policies-1.svg,policies.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256121/download?download_frd=1&verifier=MK3oUUl7xUbCf5s6qK6Cj1TIrWsxvJTLTzfknPM8,False,https://boisestatecanvas.instructure.com/files/15256121/download?download_frd=1&verifier=MK3oUUl7xUbCf5s6qK6Cj1TIrWsxvJTLTzfknPM8,image,15256121,image/svg+xml,100.00,,2022-02-14 21:26:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,15256102,1265694,,policies.svg,policies.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256102/download?download_frd=1&verifier=jaioZi4N0yjdpu1MFgJgNneNJ73AkxJERSKTilEf,False,https://boisestatecanvas.instructure.com/files/15256102/download?download_frd=1&verifier=jaioZi4N0yjdpu1MFgJgNneNJ73AkxJERSKTilEf,image,15256102,image/svg+xml,100.00,,2022-02-14 21:26:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,15256117,1265694,,profile.svg,profile.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256117/download?download_frd=1&verifier=bgjK42e1R8lFvd0g0Rmz5N1v8GzUwRGXYZOKjW65,False,https://boisestatecanvas.instructure.com/files/15256117/download?download_frd=1&verifier=bgjK42e1R8lFvd0g0Rmz5N1v8GzUwRGXYZOKjW65,image,15256117,image/svg+xml,100.00,,2022-02-14 21:26:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,15256075,1265693,,questions-or-quiz.svg,questions-or-quiz.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256075/download?download_frd=1&verifier=0YGi7NhOZyVAkkTdy2SFWcnijhSSOcaQRW055MvM,False,https://boisestatecanvas.instructure.com/files/15256075/download?download_frd=1&verifier=0YGi7NhOZyVAkkTdy2SFWcnijhSSOcaQRW055MvM,image,15256075,image/svg+xml,100.00,,2022-02-14 21:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,15256112,1265694,,reading.svg,reading.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256112/download?download_frd=1&verifier=5uOWDBwZQQRLcoGs8xqRbN9SywuSTL8fRRZRWb6r,False,https://boisestatecanvas.instructure.com/files/15256112/download?download_frd=1&verifier=5uOWDBwZQQRLcoGs8xqRbN9SywuSTL8fRRZRWb6r,image,15256112,image/svg+xml,100.00,,2022-02-14 21:26:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,15256071,1265693,,recording.svg,recording.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256071/download?download_frd=1&verifier=uMuHuBHFdsNkp5G4p8w9FCj7tgAmz93uM93UEMLh,False,https://boisestatecanvas.instructure.com/files/15256071/download?download_frd=1&verifier=uMuHuBHFdsNkp5G4p8w9FCj7tgAmz93uM93UEMLh,image,15256071,image/svg+xml,100.00,,2022-02-14 21:37:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,15256078,1265693,,research.svg,research.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256078/download?download_frd=1&verifier=UXnN8y7nib2hE4s3ozz4nLqvsX2tA42C7B1RyZhD,False,https://boisestatecanvas.instructure.com/files/15256078/download?download_frd=1&verifier=UXnN8y7nib2hE4s3ozz4nLqvsX2tA42C7B1RyZhD,image,15256078,image/svg+xml,100.00,,2022-02-14 21:37:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,15256105,1265694,,schedule.svg,schedule.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256105/download?download_frd=1&verifier=nYmKjFr59t9ScOIpqL96bUBsJdYqPP9jVgJxTozM,False,https://boisestatecanvas.instructure.com/files/15256105/download?download_frd=1&verifier=nYmKjFr59t9ScOIpqL96bUBsJdYqPP9jVgJxTozM,image,15256105,image/svg+xml,100.00,,2022-02-14 21:37:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,15256079,1265693,,settings.svg,settings.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256079/download?download_frd=1&verifier=Sz3j3FpzFo01WEDxxKnkRVKHUNBko0NyarwbaS0B,False,https://boisestatecanvas.instructure.com/files/15256079/download?download_frd=1&verifier=Sz3j3FpzFo01WEDxxKnkRVKHUNBko0NyarwbaS0B,image,15256079,image/svg+xml,100.00,,2022-02-14 21:37:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,15256103,1265693,,smartphone.svg,smartphone.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256103/download?download_frd=1&verifier=mrauybdwZLledpkREuPuCfptBrqUu8bHqwBJr21V,False,https://boisestatecanvas.instructure.com/files/15256103/download?download_frd=1&verifier=mrauybdwZLledpkREuPuCfptBrqUu8bHqwBJr21V,image,15256103,image/svg+xml,100.00,,2022-02-14 17:08:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,15256092,1265693,,speaking.svg,speaking.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256092/download?download_frd=1&verifier=XatXGlDIyC6UDYvcfLXhr5xth605uDdNy0nFzfE9,False,https://boisestatecanvas.instructure.com/files/15256092/download?download_frd=1&verifier=XatXGlDIyC6UDYvcfLXhr5xth605uDdNy0nFzfE9,image,15256092,image/svg+xml,100.00,,2022-02-14 21:37:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,15256113,1265694,,syllabus.svg,syllabus.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256113/download?download_frd=1&verifier=8Vx2OIZ8XSJFPpvBNDZjfM1MspSRccSvdtzvHOZ5,False,https://boisestatecanvas.instructure.com/files/15256113/download?download_frd=1&verifier=8Vx2OIZ8XSJFPpvBNDZjfM1MspSRccSvdtzvHOZ5,image,15256113,image/svg+xml,100.00,,2022-02-14 21:37:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,15256101,1265694,,task.svg,task.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256101/download?download_frd=1&verifier=tXIpWCcOaZPfxF8f17l3dZFEPw12PiW3udt1LjtF,False,https://boisestatecanvas.instructure.com/files/15256101/download?download_frd=1&verifier=tXIpWCcOaZPfxF8f17l3dZFEPw12PiW3udt1LjtF,image,15256101,image/svg+xml,100.00,,2022-02-14 21:26:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,15256094,1265693,,time-limit.svg,time-limit.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256094/download?download_frd=1&verifier=VUgwEZcF2VQxCmYuXCD5RwGkzLa08JWGhgsGe88g,False,https://boisestatecanvas.instructure.com/files/15256094/download?download_frd=1&verifier=VUgwEZcF2VQxCmYuXCD5RwGkzLa08JWGhgsGe88g,image,15256094,image/svg+xml,100.00,,2022-02-14 21:37:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,15256110,1265694,,tip.svg,tip.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256110/download?download_frd=1&verifier=28EwA8is1Q7EaXulNGsdeOV7TLBdD3jZnPs9ZVDa,False,https://boisestatecanvas.instructure.com/files/15256110/download?download_frd=1&verifier=28EwA8is1Q7EaXulNGsdeOV7TLBdD3jZnPs9ZVDa,image,15256110,image/svg+xml,100.00,,2022-02-14 21:26:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,15256076,1265693,,upload-to-cloud.svg,upload-to-cloud.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256076/download?download_frd=1&verifier=qTdeU1Sqs5cpoXncHmidxQTJPqWL34HvdMnOZP5F,False,https://boisestatecanvas.instructure.com/files/15256076/download?download_frd=1&verifier=qTdeU1Sqs5cpoXncHmidxQTJPqWL34HvdMnOZP5F,image,15256076,image/svg+xml,100.00,,2022-02-14 21:37:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,15256087,1265693,,upload.svg,upload.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256087/download?download_frd=1&verifier=He12uC8Kb9WuQziH9lFJAnNK1Yl9Hd0Y9zFcIAxx,False,https://boisestatecanvas.instructure.com/files/15256087/download?download_frd=1&verifier=He12uC8Kb9WuQziH9lFJAnNK1Yl9Hd0Y9zFcIAxx,image,15256087,image/svg+xml,100.00,,2022-02-14 21:37:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,15256091,1265694,,video.svg,video.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256091/download?download_frd=1&verifier=0jIgvT9xwfsRKGqEkNMkuToW5VHFmjZk4yMWdPSn,False,https://boisestatecanvas.instructure.com/files/15256091/download?download_frd=1&verifier=0jIgvT9xwfsRKGqEkNMkuToW5VHFmjZk4yMWdPSn,image,15256091,image/svg+xml,100.00,,2022-02-14 21:26:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,15256118,1265694,,warning.svg,warning.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256118/download?download_frd=1&verifier=OND9GSsBnxC7Y9kNMmAC2k14KkSymo6bEfmVlgxF,False,https://boisestatecanvas.instructure.com/files/15256118/download?download_frd=1&verifier=OND9GSsBnxC7Y9kNMmAC2k14KkSymo6bEfmVlgxF,image,15256118,image/svg+xml,100.00,,2022-02-14 21:26:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,15256099,1265693,,web-conferencing.svg,web-conferencing.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256099/download?download_frd=1&verifier=YbNEDyk6FVaipEaKla4Yq4oH9WV96x9fPYdJZpZN,False,https://boisestatecanvas.instructure.com/files/15256099/download?download_frd=1&verifier=YbNEDyk6FVaipEaKla4Yq4oH9WV96x9fPYdJZpZN,image,15256099,image/svg+xml,100.00,,2022-02-14 21:37:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,15256077,1265693,,what-to-wear.svg,what-to-wear.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256077/download?download_frd=1&verifier=0JztubBJl3XCJQyEiMHDI8xZwnNEnOuyDEhHL3G5,False,https://boisestatecanvas.instructure.com/files/15256077/download?download_frd=1&verifier=0JztubBJl3XCJQyEiMHDI8xZwnNEnOuyDEhHL3G5,image,15256077,image/svg+xml,100.00,,2022-02-14 21:37:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,15256090,1265693,,work.svg,work.svg,image/svg+xml,https://boisestatecanvas.instructure.com/files/15256090/download?download_frd=1&verifier=TwnMJUb1p30hPjZq8kO0vAH3CE0FJnFMJslwujth,False,https://boisestatecanvas.instructure.com/files/15256090/download?download_frd=1&verifier=TwnMJUb1p30hPjZq8kO0vAH3CE0FJnFMJslwujth,image,15256090,image/svg+xml,100.00,,2022-02-14 21:37:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
